#,Date searched,Terms,Search engine,Title,Year published,Country of study,Continent,Language if not English,Microscopy,PCR,Mouse bioassay,Number of felids/samples,Positive felid/samples,% shedding (or reshedding),Genotypes,Strain,Length of study/sampling (months),Relevant,Topic if relevant,Freerange,Notes,Link,,,,,,,
131,2/21,toxoplasma AND cat AND shedding,WoS,Prevalence and genetic diversity of Toxoplasma gondii oocysts in cats of southwest of Iran,2017,Iran,Asia,,Y,Y,N,486,35,7.20,"III, I+III, I",,5,Y,Domestic-FR,Y,,https://www.clinicalkey.com/nursing/#!/content/playContent/1-s2.0-S2468045117300652?returnurl=null&referrer=null,,,,,,,
969,3/11,"toxoplasma, felid, oocyst, feces",Pubmed,Prevalence of helminth and coccidian parasites in Swedish outdoor cats and the first report of Aelurostrongylus abstrusus in Sweden: a coprological investigation,2017,Sweden,Europe,,Y,N,N,205,1,0.49,,,,Y,Domestic-FR,Y,,https://actavetscand.biomedcentral.com/articles/10.1186/s13028-017-0287-y,,,,,,,
1118,2/3/21,,WoS,Toxoplasma gondii Detection in Fecal Samples from Domestic Cats (Felis catus) in Hawai‘i,2018,USA,North America,,N,Y,N,69,5,7.25,,,,Y,Domestic-FR,Y,,https://bioone.org/journals/pacific-science/volume-72/issue-4/72.4.9/Toxoplasma-gondii-Detection-in-Fecal-Samples-from-Domestic-Cats-Felis/10.2984/72.4.9.full,,,,,,,
264,2/24,"toxoplasma, felid, genotype",Pubmed,"Genotyping of Toxoplasma gondii Isolated from cat Feces in Songkhla, Southern Thailand",2018,Thailand,Asia,,Y,Y,N,,,,"I, III, II/III, recombinant, atypical","TG-CtPSU37 (III), TG-CtPSU176 (III), TG-CtPSU89 (I/III), TGCtPSU207 (I), TG-CtPSU74 and TG-CtPSU100 (u-1), TG-CtPSU45 and TGCtPSU49 (recombinant)",,Y,Domestic-FR,Y,,https://www.sciencedirect.com/science/article/pii/S2405939017302708?via%3Dihub,,,,,,,
470,2/29,"toxoplasma, felid, species",Pubmed,High density of fox and cat faeces in kitchen gardens and resulting rodent exposure to Echinococcus multilocularis and Toxoplasma gondii,2018,France,Europe,,Y,N,N,141,6,4.26,,,24,Y,Domestic-FR,Y,,https://folia.paru.cas.cz/pdfs/fol/2018/01/02.pdf,,,,,,,
662,3/10,"toxoplasma, transmission, felid",Pubmed,Implications of zoonotic and vector-borne parasites to free-roaming cats in central Spain,2018,Spain,Europe,,Y,N,N,263,0,0,,,36,Y,Domestic-FR,Y,no oocysts,https://www.sciencedirect.com/science/article/pii/S0304401718300153,,,,,,,
948,3/10,"toxoplasma, felid, oocyst, feces",Pubmed,Prevalence of Toxoplasma gondii infection in cats in southwestern Poland,2018,Poland,Europe,,Y,Y,N,41,1,2.44,,,,Y,Domestic-FR,Y,,"http://www.aaem.pl/Prevalence-of-Toxoplasma-gondii-infection-in-cats-from-southwestern-region-of-Poland,94675,0,2.html",,,,,,,
454,2/29,"toxoplasma, felid, species",Pubmed,"Prevalence of zoonotic parasites in feral cats of Central Virginia, USA",2018,USA,North America,,Y,N,N,275,3,1.09,,,5,Y,Domestic-FR,Y,,https://www.ncbi.nlm.nih.gov/pubmed/31348621,,,,,,,
955,3/10,"toxoplasma, felid, oocyst, feces",Pubmed,"Fecal survey of parasites in free-roaming cats in northcentral Oklahoma, United States",2018,USA,North America,,Y,N,N,846,1,0.12,,,,Y,Domestic-FR,Y,t gondii like oocyst,https://www.sciencedirect.com/science/article/pii/S2405939018300595?via%3Dihub,,,,,,,
19,2/16,toxoplasma AND cat AND shedding,Pubmed,"A serological and parasitological study of Toxoplasma gondii infection in stray cats of Mashhad, Khorasan Razavi province, Iran",2019,Iran,Asia,,Y,N,N,159,4,2.52,,,4,Y,Domestic-FR,Y,"toxoplasma like oocysts, are these h?",https://www.ncbi.nlm.nih.gov/pubmed/31338144,,,,,,,
1064,3/31,,Liz,Excretion of Toxoplasma gondii oocysts from Feral Cats in Korea,2019,Korea,Asia,,Y,Y,N,563,5,0.8880994671,,,36,Y,Domestic-FR,Y,,http://parasitol.kr/upload/pdf/kjp-57-6-665.pdf,,,,,,,
1119,2/4/21,,WoS,"Quantifying the presence of feral cat colonies and Toxoplasma gondii in relation to bird conservation areas on O'ahu, Hawai'i",2020,USA,North America,,N,Y,N,56,6,10.71,,,,Y,Domestic-FR,Y,,https://conbio.onlinelibrary.wiley.com/doi/full/10.1111/csp2.179,,,,,,,
1075,2/2/21,"toxoplasma, cat, shedding",Pubmed,"Shedding proportion of Toxoplasma gondii-like oocysts in feral cats and soil contamination in Oyo State, Nigeria",2020,Nigeria,Africa,,Y,N,N,14,3,21.43,,,1,Y,Domestic-FR,Y,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7516289/,,,,,,,
1085,2/2/21,"toxoplasma, felid, genotype",Pubmed,Outbreak of Amazonian Toxoplasmosis: A One Health Investigation in a Remote Amerindian Community,2020,French Guiana,South America,,Y,N,N,12,0,0.00,,,,Y,Domestic-FR,Y,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7516351/,,,,,,,
1079,2/2/21,"toxoplasma, cat, shedding",Pubmed,"Prevalence of Feline Immunodeficiency Virus and Toxoplasma gondii in Feral Cats on St. Kitts, West Indies",2021,St. Kitts,North America,,Y,Y,N,105,0,0.00,,,,Y,Domestic-FR,Y,,https://pubmed.ncbi.nlm.nih.gov/33494205/,,,,,,,
709,3/10,"toxoplasma, transmission, felid",Pubmed,Experimental Toxoplasma infections in cats. I. Repeated transmission of Toxoplasma gondii through feces of cats infected by nematodes,1969,Germany,Europe,German,Y,N,Y,5,1,20.00,,Ktz 1983,,Y,Reshedding,N,,https://www.cabdirect.org/cabdirect/abstract/19702901365,,,,,,,
85,2/21,toxoplasma AND cat AND shedding,WoS,Re-shedding of Toxoplasma gondii oocysts by chronically infected cats,1976,USA,North America,,Y,N,Y,10,9,90.00,III,M7741,3,Y,Reshedding,N,9/10 reshed!,https://www.nature.com/articles/262213a0.pdf,,,,,,,
43,2/16,toxoplasma AND cat AND shedding,Pubmed,Effect of age and sex on the acquisition of immunity to toxoplasmosis in cats,1977,USA,North America,,Y,N,Y,11,0,0.00,III,"M7741, CR-6",3,Y,Reshedding,N,,https://www.ncbi.nlm.nih.gov/pubmed/864622,,,,,,,
1004,3/12,"toxoplasma, felid, oocyst, feces",Pubmed,Effect of immunization of cats with Isospora felis and BCG on immunity to reexcretion of Toxoplasma gondii oocysts,1978,USA,North America,,Y,N,N,16,7,43.75,III,M7741,1,Y,Reshedding,N,,https://www.ncbi.nlm.nih.gov/pubmed/364044,,,,,,,
23,2/16,toxoplasma AND cat AND shedding,Pubmed,Immunization of cats against shedding of Toxoplasma oocysts,1982,USA,North America,,Y,N,N,,,,"III, II","M7741, Gail",3,Y,Reshedding,N,,https://www.jstor.org/stable/3280978?origin=crossref&seq=1#metadata_info_tab_contents,,,,,,,
31,2/16,toxoplasma AND cat AND shedding,Pubmed,Inhibitory effects of monensin on shedding of Toxoplasma oocysts by cats,1982,USA,North America,,Y,N,N,12,2,16.67,"III, II","M 7741, Gail",3,Y,Reshedding,N,,https://www.ncbi.nlm.nih.gov/pubmed/7131189,,,,,,,
35,2/16,toxoplasma AND cat AND shedding,Pubmed,Duration of immunity to shedding of Toxoplasma gondii oocysts by cats,1995,USA,North America,,Y,N,N,9,4,44.44,"II, BrIII (#8)","TS-2, ME49, P98 (TgPgUS15)",78,Y,Reshedding,N,44% (4/9) reshed oocysts at 77 months,https://www.ncbi.nlm.nih.gov/pubmed/7776126,,,,,,,
64,2/16,toxoplasma AND cat AND shedding,Pubmed,Mediation of immunity to Toxoplasma gondii oocyst shedding in cats,1995,USA,North America,,Y,N,N,12,0,0.00,II,ME49,0.5,Y,Reshedding,N,homologous challenge no repeat shedding,https://www.ncbi.nlm.nih.gov/pubmed/8544058,,,,,,,
77,2/16,toxoplasma AND cat AND shedding,Pubmed,Long-term antibody responses of cats fed toxoplasma gondii tissue cysts,1995,USA,North America,,Y,N,Y,,,,"II, BrIII (#8)","TS-2, ME49, P89",78,Y,Reshedding,N,"all shed initially, 4/9 reshed",https://www.jstor.org/stable/3284035?seq=2#metadata_info_tab_contents,,,,,,,
78,2/16,toxoplasma AND cat AND shedding,Pubmed,Toxoplasma gondii: cross-immunity against the enteric cycle,2007,Uruguay,South America,,Y,N,N,9,1,11.11,"II, III","ME49, M7741",2,Y,Reshedding,N,,https://www.sciencedirect.com/science/article/pii/S0014489406001275?via%3Dihub,,,,,,,
9,2/16,toxoplasma AND cat AND shedding,Pubmed,Prevention of shedding and re-shedding of Toxoplasma gondii oocysts in experimentally infected cats treated with oral Clindamycin: a preliminary study,2009,Iran,Asia,,Y,N,N,12,8,66.67,II,Tehran strain,2,Y,Reshedding,N,,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1863-2378.2008.01174.x,,,,,,,
1,2/16,toxoplasma AND cat AND shedding,Pubmed,Toxoplasma gondii: A study of oocyst re-shedding in domestic cats.,2018,Brazil,South America,,Y,Y,N,7,5,71.43,"II, III","ME49, TgDoveBr8, VEG, TgDoveBr1",36,Y,Reshedding,N,,https://www.sciencedirect.com/science/article/pii/S0304401717304685?via%3Dihub,,,,,,,
1026,3/23,,Reference search,Pursuing Toxoplasma,1970,USA,North America,,Y,N,N,,,,,,,Y,Wild-CAP,N,,https://academic.oup.com/jid/article-abstract/122/6/553/905444?redirectedFrom=fulltext,,,,,,,
1028,3/23,,Reference search,Investigations about host specifity of the oocyst-forming life-cycle of Toxoplasma gondii,1972,Germany,Europe,German,Y,N,N,,,,,,,Y,Wild-CAP,N,,https://link.springer.com/article/10.1007/BF00329461,,,,,,,
1027,3/23,,Reference search,"Oral infections with Toxoplasma cysts and oocysts in felines, other mammals, and in birds",1972,USA,North America,,Y,N,Y,,,,,,,Y,Wild-CAP,N,,https://www.ncbi.nlm.nih.gov/pubmed/5078599,,,,,,,
1016,3/12,"toxoplasma, felid, oocyst, feces",Pubmed,Development of Toxoplasma oocysts in neotropical felidae,1972,"Panama, Costa Rica",North America,,Y,N,Y,15,4,26.67,III,,1,Y,Wild-CAP,N,experimental,https://www.ajtmh.org/docserver/fulltext/14761645/21/5/TM0210050512.pdf?expires=1584052462&id=id&accname=12217&checksum=BADB7ADF051D2DD6B73259635EC59089,,,,,,,
416,2/28,"toxoplasma, felid, zoo",Pubmed,"Prevalence of antibodies to Toxoplasma gondii in wild and domestic animals of New Mexico, Arizona and Colorado",1976,USA,North America,,Y,N,Y,10,9,90.00,,,,Y,Wild-CAP,N,,https://www.jwildlifedis.org/doi/pdf/10.7589/0090-3558-12.2.226,,,,,,,
1031,3/23,,Reference search,"Hallazgo del ciclo ontogenico selvatico del Toxoplasma gondii en felidos salvajes (Oncifelis geofroyi, Felis colocolo y Felis eird) de la provincia de Cordoba",1978,Argentina,South America,Spanish,Y,N,N,,,,,,,Y,Wild-CAP,N,,no link,,,,,,,
1025,3/23,,Reference search,Final Hosts of Toxoplasma,1979,Russia,Asia,Russian,Y,N,Y,,,,,,,Y,Wild-CAP,N,,"Polomoshnov, A. P. (1979). Definitive hosts of Toxoplasma. Problems of Natural Nidality of Diseases. Institute of Zoology, Kazakh Academy of Sciences, Alma Ata, 10, 68-72.",,,,,,,
1029,3/23,,Reference search,Hematological and parasitological study of the Iriomote cat (Prionailurus iriomotensis),1986,Japan,Asia,,Y,N,Y,,,,,,,Y,Wild-CAP,N,,https://www.nrcresearchpress.com/doi/pdf/10.1139/z87-150,,,,,,,
1024,3/23,,Reference search,Fatal toxoplasmosis and enteroepithelial stages of Toxoplasma gondii in a Pallas cat (Felis manul),1988,USA,North America,,Y,N,N,1,1,100.00,,,,Y,Wild-CAP,N,,https://www.ncbi.nlm.nih.gov/pubmed/3199337,,,,,,,
439,2/29,"toxoplasma, felid, captive",Pubmed,Acute disseminated toxoplasmosis in two captive lions (Panthera leo) in Nigeria,1989,Nigeria,Africa,,Y,N,N,2,2,100.00,,,,Y,Wild-CAP,N,,https://www.researchgate.net/publication/20398870_Acute_disseminated_toxoplasmosis_in_two_captive_lions_Panthera_leo_in_Nigeria,,,,,,,
1030,3/23,,Reference search,Toxoplasmosis in a Siberian tiger (Panthera tigris altaica),1989,Belgium,Europe,,Y,N,Y,,,,,,,Y,Wild-CAP,N,,https://www.ncbi.nlm.nih.gov/pubmed/2617817,,,,,,,
13,2/16,toxoplasma AND cat AND shedding,Pubmed,Shedding of Toxoplasma gondii oocysts by Felidae in zoos in the Czech Republic,1998,Czech Republic,Europe,,Y,N,Y,2287,23,1.01,,,12,Y,Wild-CAP,N,,https://www.sciencedirect.com/science/article/pii/S0304401797001556?via%3Dihub,,,,,,,
114,2/21,toxoplasma AND cat AND shedding,WoS,Toxoplasmosis in Pallas' cats (Otocolobus manul) raised in captivity,2005,Austria,Europe,,Y,N,Y,7,2,28.57,,,4,Y,Wild-CAP,N,,https://www.cambridge.org/core/journals/parasitology/article/toxoplasmosis-in-pallas-cats-otocolobus-manul-raised-in-captivity/427D2B1CF5BED6C16CDFB8AD74488F48,,,,,,,
419,2/28,"toxoplasma, felid, zoo",Pubmed,Acute disseminated toxoplasmosis in a juvenile cheetah (Acinonyx jubatus),2007,UAE,Asia,,Y,N,N,1,0,0.00,,,,Y,Wild-CAP,N,,https://bioone.org/journals/Journal-of-Zoo-and-Wildlife-Medicine/volume-38/issue-3/2007-0016.1/ACUTE-DISSEMINATED-TOXOPLASMOSIS-IN-A-JUVENILE-CHEETAH-ACINONYX-JUBATUS/10.1638/2007-0016.1.full,,,,,,,
390,2/28,"toxoplasma, felid, zoo",Pubmed,Seroepidemiology of Toxoplasma gondii in zoo animals in selected zoos in the midwestern United States,2008,USA,North America,,Y,N,N,66,0,0.00,,,24,Y,Wild-CAP,N,,https://bioone.org/journals/Journal-of-Parasitology/volume-94/issue-3/GE-1453.1/Seroepidemiology-of-Toxoplasma-gondii-in-Zoo-Animals-in-Selected-Zoos/10.1645/GE-1453.1.full,,,,,,,
400,2/28,"toxoplasma, felid, zoo",Pubmed,"Occurrence, prevalence and intensity of internal parasite infections of African lions (Panthera leo) in enclosures at a recreation park in Zimbabwe",2013,Zimbabwe,Africa,,Y,N,N,30,5,16.67,,,4,Y,Wild-CAP,N,toxoplasma like spp,https://www.ncbi.nlm.nih.gov/pubmed/24063097,,,,,,,
172,2/21,toxoplasma AND cat AND shedding,WoS,"A new atypical genotype mouse virulent strain of Toxoplasma gondii isolated from the heart of a wild caught puma (Felis concolor) from Durango, Mexico",2013,Mexico,North America,,Y,N,Y,1,1,100.00,ToxoDB PCR-RFLP #222,TgPumaMe1,,Y,Wild-CAP,N,experimental,https://www.sciencedirect.com/science/article/pii/S0304401713003567,,,,,,,
311,2/25,"toxoplasma, felid, genotype",Pubmed,Direct evidence of an extra-intestinal cycle of Toxoplasma gondii in tigers (Panthera tigris) by isolation of viable strains,2019,China,Asia,,Y,N,Y,151,0,0.00,,,30,Y,Wild-CAP,N,1 pooled sample positive,https://www.tandfonline.com/doi/full/10.1080/22221751.2019.1682471,,,,,,,
402,2/28,"toxoplasma, felid, zoo",Pubmed,Toxoplasma gondii in Captive Wild Felids of Mexico: Its Frequency and Capability to Eliminate Oocysts,2019,Mexico,North America,,Y,Y,N,35,5,14.29,,,16,Y,Wild-CAP,N,no oocysts but DNA detected?,https://www.ncbi.nlm.nih.gov/pubmed/30615592,,,,,,,
606,3/8,"toxoplasma, felid, species",Pubmed,A coprological survey of parasites of wild neotropical felidae,1986,Belize,South America,,Y,N,N,45,10,22.22222222,,,19,Y,Wild-FR,Y,,https://www.jstor.org/stable/3281500?seq=1#metadata_info_tab_contents,,,,,,,
1002,3/12,"toxoplasma, felid, oocyst, feces",Pubmed,Parasites of wild felidae in Thailand: a coprological survey,1994,Thailand,Asia,,Y,N,N,92,2,2.17,,,24,Y,Wild-FR,Y,t gondii like,https://doi.org/10.7589/0090-3558-30.3.472,,,,,,,
98,2/21,toxoplasma AND cat AND shedding,WoS,Toxoplasma gondii in Vancouver Island cougars (Felis concolor vancouverensis): Serology and oocyst shedding,1998,Canada,North America,,Y,N,Y,13,2,15.38,,,4,Y,Wild-FR,Y,,https://www.jstor.org/stable/3284508?seq=1#metadata_info_tab_contents,,,,,,,
101,2/21,toxoplasma AND cat AND shedding,WoS,Potential contamination of drinking water with Toxoplasma gondii oocysts,1999,Canada,North America,,Y,N,Y,16,1,6.25,,,12,Y,Wild-FR,Y,1/7 additional fecal samps had oocysts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2809621/,,,,,,,
442,2/29,"toxoplasma, felid, captive",Pubmed,"Faecal helminth egg and oocyst counts of a small population of African lions (Panthera leo) in the southwestern Kalahari, Namibia",2006,Namibia,Africa,,Y,N,N,23,11,47.83,,,,Y,Wild-FR,Y,oocyst presence differs by season,https://www.ncbi.nlm.nih.gov/pubmed/16715880,,,,,,,
992,3/12,"toxoplasma, felid, oocyst, feces",Pubmed,Serological survey of Toxoplasma gondii infection in free-ranging Eurasian lynx (Lynx lynx) from Sweden,2006,Sweden,Europe,,Y,N,N,207,0,0.00,,,24,Y,Wild-FR,Y,,https://www.jwildlifedis.org/doi/abs/10.7589/0090-3558-42.1.182,,,,,,,
421,2/28,"toxoplasma, felid, zoo",Pubmed,Parasites of free-ranging small canids and felids in the Bolivian Chaco,2006,Bolivia,South America,,Y,N,N,14,0,0.00,,,,Y,Wild-FR,Y,,https://bioone.org/journals/Journal-of-Zoo-and-Wildlife-Medicine/volume-37/issue-2/05-075.1/PARASITES-OF-FREE-RANGING-SMALL-CANIDS-AND-FELIDS-IN-THE/10.1638/05-075.1.full#i1042-7260-37-2-130-t02,,,,,,,
429,2/28,"toxoplasma, felid, zoo",WoS,Factors affecting seroprevalence of Toxoplasma gondii in the endangered Iberian lynx (Lynx pardinus),2010,Spain,Europe,,Y,N,N,58,0,0.00,,,,Y,Wild-FR,Y,,https://www.sciencedirect.com/science/article/pii/S0304401709005779,,,,,,,
88,2/21,toxoplasma AND cat AND shedding,WoS,Zoonotic Parasites of Bobcats around Human Landscapes,2012,USA,North America,,Y,Y,N,141,0,0.00,,,,Y,Wild-FR,Y,no oocysts or dna,https://jcm.asm.org/content/jcm/50/9/3080.full.pdf,,,,,,,
602,3/8,"toxoplasma, felid, species",Pubmed,Free-ranging Eurasian lynx (Lynx lynx) as host of Toxoplasma gondii in Finland,2013,Finland,Europe,,Y,N,N,332,0,0,,,12,Y,Wild-FR,Y,,https://www.jwildlifedis.org/doi/abs/10.7589/2011-12-352,,,,,,,
61,2/16,toxoplasma AND cat AND shedding,Pubmed,"Spatiotemporal dynamics of Toxoplasma gondii infection in Canadian lynx (Lynx canadensis) in western Québec, Canada",2013,Canada,North America,,Y,N,N,84,0,0.00,,,1.5,Y,Wild-FR,Y,oocysts not detected,https://www.jwildlifedis.org/doi/abs/10.7589/2012-02-048,,,,,,,
89,2/21,toxoplasma AND cat AND shedding,WoS,"Toxoplasma gondii, Source to Sea: Higher Contribution of Domestic Felids to Terrestrial Parasite Loading Despite Lower Infection Prevalence",2013,USA,North America,,Y,Y,N,67,2,2.99,,,36,Y,Wild-FR,Y,,https://link.springer.com/article/10.1007/s10393-013-0859-x,,,,,,,
272,2/24,"toxoplasma, felid, genotype",Pubmed,"Antibody Detection and Molecular Characterization of Toxoplasma gondii from Bobcats (Lynx rufus), Domestic Cats (Felis catus), and Wildlife from Minnesota, USA",2016,USA,North America,,Y,N,Y,50,0,0.00,,,3,Y,Wild-FR,Y,no oocysts found,https://www.ncbi.nlm.nih.gov/pubmed/26824935,,,,,,,
277,2/24,"toxoplasma, felid, genotype",Pubmed,"Seroprevalence, isolation and co-infection of multiple Toxoplasma gondii strains in individual bobcats (Lynx rufus) from Mississippi, USA",2017,USA,North America,,Y,N,Y,35,0,0.00,,,1,Y,Wild-FR,Y,no oocysts found,https://www.sciencedirect.com/science/article/pii/S0020751917300437?via%3Dihub,,,,,,,
